epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.8865,2.34978,3.89143,2.55331,0.03019,0.1466,0.0395,0.01901,2.19675,3.62929,2.04662,8.75e-05,8.75e-05,8.75e-05
2,9.04837,2.30223,3.59127,2.27914,0.05473,0.33217,0.08578,0.04086,2.10337,3.31801,1.89766,0.000183787,0.000183787,0.000183787
3,10.294,2.15719,3.30524,1.8964,0.28113,0.12338,0.15378,0.07076,2.04399,2.89032,1.89737,0.000276115,0.000276115,0.000276115
4,11.531,1.93371,2.66652,2.01268,0.58675,0.28346,0.24935,0.1237,1.96227,2.46459,1.8497,0.000364482,0.000364482,0.000364482
5,12.7406,1.81718,2.33644,1.85642,0.58473,0.32557,0.28537,0.1495,1.90006,2.45944,1.77953,0.00044889,0.00044889,0.00044889
6,13.9052,1.74431,2.0061,1.84322,0.64524,0.32603,0.37835,0.20347,1.84708,2.27641,1.69711,0.000529338,0.000529338,0.000529338
7,15.2661,1.80536,1.83691,1.53533,0.68177,0.34948,0.42348,0.22667,1.83239,2.09944,1.67046,0.000605825,0.000605825,0.000605825
8,16.633,1.70575,1.66901,1.70309,0.71589,0.31382,0.41229,0.23108,1.83547,2.30503,1.6829,0.000678352,0.000678352,0.000678352
9,17.843,1.7325,1.61085,1.76039,0.48643,0.52546,0.46155,0.25643,1.84278,2.15066,1.63685,0.00074692,0.00074692,0.00074692
10,18.9481,1.71058,1.57216,1.71304,0.58191,0.50189,0.45973,0.25116,1.8453,1.90329,1.63633,0.000811528,0.000811528,0.000811528
11,20.1402,1.62948,1.46791,1.67558,0.64854,0.42113,0.45118,0.2607,1.83339,1.71669,1.63208,0.000872175,0.000872175,0.000872175
12,21.3808,1.72501,1.64998,1.60234,0.68065,0.37044,0.45221,0.2687,1.81807,1.67188,1.59192,0.000928863,0.000928863,0.000928863
13,22.5718,1.59234,1.48669,1.62512,0.58837,0.42667,0.46756,0.28075,1.7966,1.74007,1.57765,0.000953,0.000953,0.000953
14,23.7416,1.65285,1.54036,1.67999,0.62413,0.45175,0.49269,0.28601,1.79658,1.79686,1.58179,0.00092825,0.00092825,0.00092825
15,24.9619,1.62257,1.54597,1.65901,0.5614,0.49075,0.49061,0.27476,1.78219,1.73124,1.56245,0.0009035,0.0009035,0.0009035
16,26.2296,1.60053,1.45271,1.68305,0.59551,0.49632,0.49264,0.26991,1.7393,1.66791,1.56104,0.00087875,0.00087875,0.00087875
17,27.3987,1.59685,1.36801,1.53133,0.61032,0.4927,0.48224,0.27368,1.7039,1.64449,1.54956,0.000854,0.000854,0.000854
18,28.9111,1.5258,1.31126,1.58554,0.61681,0.50011,0.48734,0.28467,1.6769,1.59859,1.53973,0.00082925,0.00082925,0.00082925
19,30.0663,1.48411,1.43268,1.71707,0.60947,0.50455,0.49994,0.30165,1.65955,1.56066,1.53283,0.0008045,0.0008045,0.0008045
20,31.1333,1.5181,1.35331,1.60777,0.55934,0.49648,0.50367,0.30767,1.64555,1.52722,1.51844,0.00077975,0.00077975,0.00077975
21,32.1885,1.56669,1.2837,1.45924,0.59385,0.42679,0.48904,0.29777,1.6586,1.53358,1.51978,0.000755,0.000755,0.000755
22,33.238,1.48887,1.2483,1.53033,0.64298,0.41187,0.49142,0.29635,1.66082,1.5401,1.51425,0.00073025,0.00073025,0.00073025
23,34.436,1.47066,1.25347,1.50182,0.61578,0.42198,0.48608,0.29102,1.63508,1.53299,1.50175,0.0007055,0.0007055,0.0007055
24,35.5632,1.46737,1.22866,1.59446,0.55494,0.48364,0.49309,0.29331,1.62014,1.53297,1.50594,0.00068075,0.00068075,0.00068075
25,36.7095,1.432,1.18093,1.58251,0.59427,0.50136,0.52536,0.31309,1.62876,1.53234,1.4952,0.000656,0.000656,0.000656
26,38.1399,1.40823,1.16016,1.53316,0.58384,0.51981,0.54732,0.32653,1.62135,1.52711,1.46253,0.00063125,0.00063125,0.00063125
27,39.3992,1.42525,1.18944,1.55637,0.59762,0.52168,0.56163,0.337,1.62743,1.53362,1.45327,0.0006065,0.0006065,0.0006065
28,40.7394,1.41748,1.13261,1.54082,0.56891,0.50182,0.56079,0.33812,1.63225,1.53008,1.44735,0.00058175,0.00058175,0.00058175
29,42.253,1.34977,1.17083,1.55545,0.57995,0.4926,0.56573,0.34474,1.62889,1.50862,1.44684,0.000557,0.000557,0.000557
30,43.4407,1.4456,1.14349,1.47532,0.70899,0.44151,0.57341,0.33889,1.62486,1.48672,1.45137,0.00053225,0.00053225,0.00053225
31,44.6023,1.30184,1.06602,1.48693,0.65186,0.48533,0.57709,0.33928,1.62214,1.45745,1.45512,0.0005075,0.0005075,0.0005075
32,45.7871,1.29933,1.18558,1.67765,0.6338,0.49278,0.58277,0.33907,1.6107,1.44162,1.44937,0.00048275,0.00048275,0.00048275
33,47.0885,1.32398,1.0471,1.52331,0.65723,0.51403,0.59968,0.34994,1.59995,1.42763,1.44721,0.000458,0.000458,0.000458
34,48.1925,1.31967,1.10397,1.63131,0.65852,0.52553,0.6029,0.35405,1.57993,1.41723,1.44139,0.00043325,0.00043325,0.00043325
35,49.2481,1.35527,1.09594,1.48308,0.69601,0.49392,0.61239,0.36419,1.56972,1.41839,1.43916,0.0004085,0.0004085,0.0004085
36,50.4664,1.34426,1.04086,1.51869,0.64143,0.52499,0.61715,0.3653,1.56613,1.43485,1.44808,0.00038375,0.00038375,0.00038375
37,51.8043,1.3049,1.02681,1.45324,0.64089,0.53969,0.6169,0.36785,1.56208,1.43776,1.45121,0.000359,0.000359,0.000359
38,52.9956,1.21945,0.9988,1.52779,0.66463,0.53046,0.60467,0.36259,1.55545,1.44041,1.45581,0.00033425,0.00033425,0.00033425
39,54.0961,1.37955,1.03109,1.41699,0.67534,0.51752,0.59917,0.36335,1.55107,1.44403,1.45583,0.0003095,0.0003095,0.0003095
