epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.3449,2.03797,3.89891,2.51669,0.12313,0.37328,0.20156,0.1011,1.92569,3.5682,1.97186,8.75e-05,8.75e-05,8.75e-05
2,30.2238,1.7985,3.59096,2.14723,0.12528,0.45615,0.26948,0.14594,1.72961,3.28424,1.73366,0.000183787,0.000183787,0.000183787
3,31.8958,1.65161,3.33076,1.69749,0.4027,0.26966,0.34292,0.20205,1.59523,2.93685,1.63129,0.000276115,0.000276115,0.000276115
4,33.5358,1.55356,2.94745,1.87806,0.90313,0.2904,0.39245,0.23844,1.56931,2.6219,1.59754,0.000364482,0.000364482,0.000364482
5,35.16,1.43345,2.41624,1.69613,0.9141,0.29337,0.4494,0.25511,1.61215,2.30864,1.60639,0.00044889,0.00044889,0.00044889
6,36.8038,1.45591,2.05285,1.75843,0.53878,0.4807,0.54137,0.30717,1.62013,1.99992,1.56695,0.000529338,0.000529338,0.000529338
7,38.4465,1.49584,1.63799,1.49298,0.60151,0.51269,0.55264,0.31462,1.58587,1.81255,1.55235,0.000605825,0.000605825,0.000605825
8,39.9585,1.46251,1.66916,1.65084,0.66784,0.46593,0.5521,0.31431,1.57371,1.78602,1.55801,0.000678352,0.000678352,0.000678352
9,41.3693,1.50976,1.61563,1.72949,0.65772,0.50673,0.57204,0.32802,1.57261,1.80039,1.52586,0.00074692,0.00074692,0.00074692
10,43.0293,1.45277,1.42034,1.69347,0.60914,0.56949,0.58661,0.34202,1.52846,1.63716,1.49293,0.000811528,0.000811528,0.000811528
11,45.1972,1.41059,1.31495,1.63727,0.59973,0.57815,0.59712,0.35959,1.51719,1.53761,1.50662,0.000872175,0.000872175,0.000872175
12,46.8404,1.43784,1.43235,1.57275,0.60292,0.6173,0.5945,0.36846,1.47812,1.51022,1.51296,0.000928863,0.000928863,0.000928863
13,48.4919,1.29596,1.30472,1.53779,0.61103,0.61191,0.61026,0.37166,1.45824,1.5748,1.50095,0.000953,0.000953,0.000953
14,50.2619,1.35592,1.32054,1.56544,0.65034,0.63083,0.65072,0.3887,1.4354,1.55931,1.47073,0.00092825,0.00092825,0.00092825
15,52.125,1.36269,1.3569,1.58296,0.71146,0.56137,0.64042,0.40638,1.44382,1.44137,1.45533,0.0009035,0.0009035,0.0009035
16,53.7468,1.34793,1.23823,1.65522,0.72692,0.55256,0.65722,0.42135,1.4346,1.4333,1.44407,0.00087875,0.00087875,0.00087875
17,55.3942,1.31756,1.13645,1.45111,0.70724,0.61292,0.67573,0.42393,1.44222,1.42691,1.45601,0.000854,0.000854,0.000854
18,57.0651,1.30691,1.1609,1.52407,0.75036,0.61947,0.66721,0.42287,1.42063,1.39189,1.44116,0.00082925,0.00082925,0.00082925
19,58.9068,1.26547,1.26756,1.60464,0.73503,0.67596,0.67564,0.41467,1.41331,1.36527,1.45463,0.0008045,0.0008045,0.0008045
20,60.4357,1.27914,1.14955,1.52464,0.74651,0.6849,0.69619,0.41579,1.42054,1.33071,1.44012,0.00077975,0.00077975,0.00077975
21,61.9458,1.26858,1.07723,1.37532,0.75271,0.6135,0.71464,0.45216,1.39269,1.33195,1.4293,0.000755,0.000755,0.000755
22,63.5931,1.25798,0.98938,1.48324,0.72583,0.63364,0.71788,0.46285,1.38009,1.30117,1.4262,0.00073025,0.00073025,0.00073025
23,65.3073,1.21682,0.99314,1.43034,0.66897,0.66688,0.70685,0.45318,1.38128,1.29435,1.40656,0.0007055,0.0007055,0.0007055
24,67.0591,1.20845,1.03553,1.51927,0.68212,0.59976,0.67258,0.43849,1.37932,1.30751,1.39815,0.00068075,0.00068075,0.00068075
25,68.7925,1.15743,0.98232,1.49224,0.69353,0.60718,0.65153,0.41811,1.38195,1.32189,1.42622,0.000656,0.000656,0.000656
26,70.6881,1.11143,0.93417,1.50218,0.73334,0.59178,0.66738,0.43042,1.38378,1.35493,1.44865,0.00063125,0.00063125,0.00063125
27,73.2811,1.15367,0.978,1.49397,0.72876,0.61654,0.671,0.44155,1.37141,1.39992,1.44965,0.0006065,0.0006065,0.0006065
28,75.178,1.15615,0.94327,1.51989,0.70644,0.63675,0.69387,0.45912,1.36656,1.4119,1.43542,0.00058175,0.00058175,0.00058175
29,77.077,1.14538,0.96661,1.49554,0.72868,0.63109,0.7047,0.46811,1.38204,1.38854,1.43645,0.000557,0.000557,0.000557
30,78.9348,1.20063,0.9245,1.42268,0.76308,0.58685,0.68787,0.47155,1.36943,1.36405,1.43334,0.00053225,0.00053225,0.00053225
31,81.0462,1.0574,0.84949,1.46479,0.73747,0.60836,0.67931,0.46798,1.33947,1.35332,1.43417,0.0005075,0.0005075,0.0005075
32,82.8694,1.13318,0.96878,1.70474,0.76446,0.60029,0.67497,0.46924,1.3273,1.3584,1.44503,0.00048275,0.00048275,0.00048275
33,84.9542,1.10004,0.86543,1.48986,0.77548,0.59697,0.67493,0.46826,1.33275,1.37528,1.45461,0.000458,0.000458,0.000458
34,86.7599,1.10492,0.89848,1.57629,0.79535,0.56661,0.69138,0.47546,1.33384,1.38005,1.448,0.00043325,0.00043325,0.00043325
35,88.4045,1.11728,0.88388,1.47279,0.77191,0.56485,0.68612,0.47049,1.33332,1.36707,1.43024,0.0004085,0.0004085,0.0004085
36,89.8894,1.10379,0.8301,1.47659,0.76373,0.57273,0.69268,0.48263,1.33415,1.35075,1.43119,0.00038375,0.00038375,0.00038375
37,91.5136,1.0196,0.80808,1.42847,0.73749,0.59954,0.68818,0.47701,1.32074,1.35216,1.43764,0.000359,0.000359,0.000359
38,93.0655,0.9968,0.80465,1.48942,0.72847,0.5876,0.68946,0.48026,1.30521,1.34319,1.43095,0.00033425,0.00033425,0.00033425
39,94.7914,1.08013,0.81261,1.41608,0.76646,0.57069,0.69118,0.48959,1.28894,1.33124,1.4242,0.0003095,0.0003095,0.0003095
40,96.3767,1.08027,0.83202,1.49187,0.77377,0.57196,0.6994,0.49657,1.29292,1.32837,1.42567,0.00028475,0.00028475,0.00028475
41,99.8089,0.98287,0.77429,1.50859,0.74899,0.57474,0.69646,0.4938,1.29863,1.32588,1.42293,0.00026,0.00026,0.00026
42,101.329,0.98845,0.80601,1.49485,0.77401,0.56108,0.69048,0.48231,1.29276,1.31631,1.41937,0.00023525,0.00023525,0.00023525
43,102.814,0.98483,0.82574,1.56574,0.752,0.5683,0.67607,0.47205,1.29821,1.33015,1.4198,0.0002105,0.0002105,0.0002105
44,104.326,1.02759,0.76227,1.41497,0.6939,0.58746,0.66673,0.46557,1.30436,1.33911,1.41647,0.00018575,0.00018575,0.00018575
45,105.844,0.98659,0.77597,1.51178,0.74828,0.56602,0.67295,0.47387,1.30321,1.34709,1.41674,0.000161,0.000161,0.000161
46,107.363,0.9674,0.76079,1.47891,0.64963,0.63233,0.67611,0.47662,1.30433,1.37398,1.42031,0.00013625,0.00013625,0.00013625
47,109.057,0.96534,0.74713,1.45888,0.6554,0.63396,0.67361,0.47525,1.2985,1.38472,1.4202,0.0001115,0.0001115,0.0001115
48,110.535,0.95827,0.76687,1.49998,0.65256,0.63402,0.68074,0.47361,1.29435,1.37767,1.42014,8.675e-05,8.675e-05,8.675e-05
49,112.516,0.97477,0.74965,1.42211,0.64504,0.63995,0.68373,0.47489,1.29289,1.36563,1.42117,6.2e-05,6.2e-05,6.2e-05
50,114.055,0.96034,0.71963,1.36406,0.65327,0.63516,0.68648,0.47737,1.2917,1.36051,1.41992,3.725e-05,3.725e-05,3.725e-05
