epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.12096,2.25687,3.74013,2.56158,0.03679,0.06533,0.03406,0.0168,2.21318,3.65948,2.09708,8.75e-05,8.75e-05,8.75e-05
2,9.09251,2.22792,3.5207,2.26501,0.05231,0.27297,0.07597,0.03879,2.11626,3.35021,1.99142,0.000183787,0.000183787,0.000183787
3,10.1126,2.21261,3.31287,1.92852,0.34431,0.12793,0.17945,0.07871,2.04601,2.99238,1.85795,0.000276115,0.000276115,0.000276115
4,11.1255,1.94943,2.7819,2.02878,0.64922,0.21644,0.27303,0.12463,1.97902,2.60453,1.78617,0.000364482,0.000364482,0.000364482
5,12.1307,1.85268,2.44087,1.87835,0.65243,0.27026,0.32987,0.15912,1.89999,2.35462,1.72864,0.00044889,0.00044889,0.00044889
6,13.1356,1.72791,2.11683,1.86034,0.71278,0.35484,0.40377,0.21215,1.84401,2.19963,1.65464,0.000529338,0.000529338,0.000529338
7,14.6137,1.85013,2.09339,1.55438,0.55798,0.41089,0.4417,0.24578,1.82983,1.97239,1.584,0.000605825,0.000605825,0.000605825
8,15.609,1.74442,1.77239,1.73462,0.51097,0.42239,0.44919,0.25794,1.81617,1.81882,1.56511,0.000678352,0.000678352,0.000678352
9,16.6068,1.77269,1.68011,1.76942,0.55107,0.48824,0.49759,0.2877,1.76954,2.03194,1.54216,0.00074692,0.00074692,0.00074692
10,17.5861,1.73578,1.56992,1.72467,0.71709,0.43243,0.50677,0.28602,1.77779,2.23798,1.53441,0.000811528,0.000811528,0.000811528
11,18.5316,1.66168,1.55232,1.66577,0.72709,0.44395,0.51912,0.29026,1.78737,2.19783,1.54563,0.000872175,0.000872175,0.000872175
12,19.5275,1.78211,1.77123,1.61635,0.56096,0.48046,0.522,0.28721,1.78717,2.09124,1.55353,0.000928863,0.000928863,0.000928863
13,20.4923,1.65786,1.56795,1.62919,0.60187,0.47603,0.52495,0.28014,1.78865,2.01483,1.55317,0.000953,0.000953,0.000953
14,21.4998,1.71008,1.53465,1.65113,0.61685,0.48284,0.51893,0.27814,1.76618,1.93598,1.53734,0.00092825,0.00092825,0.00092825
