epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.9033,2.30813,3.77529,2.45365,0.09687,0.11585,0.09115,0.04628,2.21062,3.38013,2.10513,8.75e-05,8.75e-05,8.75e-05
2,29.9757,2.18635,3.54923,2.14432,0.13331,0.10976,0.14757,0.07395,2.09356,3.19631,1.98552,0.000183787,0.000183787,0.000183787
3,31.1244,2.08324,3.38942,1.79287,0.1008,0.14337,0.21063,0.11738,2.0272,2.97183,1.89199,0.000276115,0.000276115,0.000276115
4,32.31,1.85404,3.02524,1.89091,0.4853,0.27104,0.27607,0.16142,1.97655,2.6952,1.76134,0.000364482,0.000364482,0.000364482
5,33.4987,1.74791,2.70168,1.71007,0.74778,0.27806,0.30642,0.18347,1.90328,2.53057,1.67958,0.00044889,0.00044889,0.00044889
6,34.6533,1.71564,2.55375,1.73351,0.77825,0.27652,0.33731,0.20782,1.83658,2.38074,1.61502,0.000529338,0.000529338,0.000529338
7,35.8897,1.81211,2.49495,1.46892,0.70773,0.31753,0.36207,0.21541,1.82106,2.19998,1.5982,0.000605825,0.000605825,0.000605825
8,37.146,1.72856,2.16205,1.6586,0.72217,0.29481,0.3616,0.2157,1.83537,2.07409,1.61836,0.000678352,0.000678352,0.000678352
9,38.1738,1.73832,1.95684,1.70762,0.70236,0.32766,0.43578,0.23405,1.85354,1.8631,1.64001,0.00074692,0.00074692,0.00074692
10,39.8418,1.69183,1.77346,1.71034,0.6886,0.4052,0.49435,0.25458,1.82662,1.79239,1.63168,0.000811528,0.000811528,0.000811528
11,41.4119,1.62352,1.67125,1.6166,0.44647,0.55726,0.519,0.27458,1.81121,1.77478,1.60866,0.000872175,0.000872175,0.000872175
12,43.0655,1.74584,1.86647,1.55042,0.53817,0.5093,0.53634,0.28558,1.78996,1.80648,1.60166,0.000928863,0.000928863,0.000928863
13,44.139,1.59792,1.62759,1.58387,0.53057,0.50835,0.54096,0.29317,1.79125,1.79169,1.59667,0.000953,0.000953,0.000953
14,45.339,1.67243,1.60261,1.61159,0.64092,0.42662,0.54604,0.29221,1.79173,1.86655,1.59357,0.00092825,0.00092825,0.00092825
15,47.0851,1.69804,1.73672,1.62189,0.65363,0.40979,0.55626,0.30077,1.78969,1.90444,1.56701,0.0009035,0.0009035,0.0009035
16,48.507,1.66767,1.59091,1.62596,0.66681,0.39209,0.56009,0.31736,1.7656,1.82438,1.54642,0.00087875,0.00087875,0.00087875
17,49.8994,1.66818,1.47249,1.52419,0.70628,0.41535,0.57982,0.33524,1.74206,1.69531,1.54292,0.000854,0.000854,0.000854
18,51.1256,1.6133,1.45934,1.55587,0.74414,0.43335,0.60405,0.34721,1.72136,1.61367,1.53918,0.00082925,0.00082925,0.00082925
19,52.3327,1.51527,1.56096,1.65066,0.69668,0.4906,0.59217,0.33263,1.71527,1.61985,1.52224,0.0008045,0.0008045,0.0008045
20,53.5469,1.57638,1.52279,1.5634,0.66607,0.53074,0.59634,0.33491,1.70299,1.60092,1.50933,0.00077975,0.00077975,0.00077975
21,54.5804,1.6187,1.43696,1.44539,0.66493,0.55119,0.59914,0.34217,1.6936,1.56474,1.51214,0.000755,0.000755,0.000755
22,56.3044,1.5361,1.37359,1.48209,0.65859,0.57031,0.59536,0.34682,1.69355,1.53848,1.5216,0.00073025,0.00073025,0.00073025
23,57.4367,1.56381,1.38416,1.47243,0.6531,0.52677,0.58919,0.35063,1.69029,1.51732,1.52556,0.0007055,0.0007055,0.0007055
24,58.6758,1.5726,1.39088,1.56269,0.66643,0.51852,0.58917,0.35049,1.67881,1.51341,1.5262,0.00068075,0.00068075,0.00068075
25,59.7594,1.53084,1.31258,1.54578,0.68208,0.51129,0.5905,0.35376,1.66547,1.50347,1.51918,0.000656,0.000656,0.000656
26,60.9573,1.4666,1.29907,1.53743,0.74068,0.49694,0.59819,0.35692,1.65607,1.49736,1.50306,0.00063125,0.00063125,0.00063125
27,62.1848,1.48431,1.31368,1.53909,0.66449,0.54248,0.59939,0.35956,1.64617,1.49428,1.49438,0.0006065,0.0006065,0.0006065
28,63.4206,1.46985,1.24006,1.52321,0.65509,0.55453,0.59202,0.35767,1.64505,1.49043,1.49772,0.00058175,0.00058175,0.00058175
29,64.5858,1.37177,1.23896,1.56817,0.6381,0.56061,0.59338,0.3593,1.63874,1.48441,1.49936,0.000557,0.000557,0.000557
30,65.7306,1.47921,1.20311,1.49163,0.62637,0.52954,0.60064,0.36483,1.62966,1.47909,1.50229,0.00053225,0.00053225,0.00053225
31,66.9128,1.35722,1.15347,1.50477,0.66938,0.49091,0.59653,0.36713,1.62234,1.46822,1.50041,0.0005075,0.0005075,0.0005075
32,68.007,1.35147,1.23513,1.6857,0.62965,0.51055,0.58538,0.36221,1.60822,1.45612,1.48926,0.00048275,0.00048275,0.00048275
33,69.223,1.38135,1.14504,1.52938,0.65097,0.48179,0.58123,0.36096,1.6038,1.45118,1.47562,0.000458,0.000458,0.000458
34,70.7086,1.37913,1.15881,1.60532,0.56424,0.51164,0.57013,0.35461,1.60101,1.45347,1.47414,0.00043325,0.00043325,0.00043325
