epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.0241,1.38347,2.83677,1.82676,0.40268,0.45171,0.43887,0.29756,1.21794,1.38842,1.66576,0.00016622,0.00016622,0.00016622
2,80.938,1.09805,1.37136,1.60308,0.50637,0.59644,0.57348,0.39845,1.10318,1.12656,1.64526,0.000326295,0.000326295,0.000326295
3,113.437,1.03991,1.15436,1.5765,0.70873,0.5881,0.61852,0.40646,1.05346,1.11626,1.58004,0.000479771,0.000479771,0.000479771
4,144.004,1.01157,1.065,1.56798,0.62568,0.70259,0.68366,0.47191,0.98935,0.99712,1.55801,0.0004703,0.0004703,0.0004703
5,175.02,0.96652,0.98259,1.55287,0.65737,0.64808,0.68262,0.49415,0.94939,0.83838,1.51923,0.0004604,0.0004604,0.0004604
6,206.817,0.94398,0.93089,1.54643,0.759,0.62042,0.6812,0.48928,0.94427,0.89132,1.52358,0.0004505,0.0004505,0.0004505
7,237.54,0.92061,0.87532,1.50192,0.75211,0.68573,0.72937,0.5059,0.96865,0.8313,1.52584,0.0004406,0.0004406,0.0004406
8,270.192,0.91513,0.86151,1.51762,0.80385,0.6413,0.68458,0.4605,1.01404,0.86544,1.49886,0.0004307,0.0004307,0.0004307
9,306.748,0.90754,0.84448,1.5146,0.64698,0.65962,0.68009,0.47802,0.96232,0.7867,1.50236,0.0004208,0.0004208,0.0004208
10,343.55,0.88448,0.80627,1.49438,0.68548,0.70972,0.7526,0.51763,0.93874,0.80349,1.53236,0.0004109,0.0004109,0.0004109
11,379.316,0.87809,0.78991,1.47887,0.70742,0.70733,0.71229,0.48856,0.96027,0.7628,1.49988,0.000401,0.000401,0.000401
12,415.512,0.87639,0.78037,1.47999,0.76971,0.72867,0.67597,0.50789,0.89244,0.77093,1.48843,0.0003911,0.0003911,0.0003911
13,454.598,0.86033,0.75265,1.48022,0.76166,0.78113,0.74274,0.51791,0.95992,0.73837,1.47345,0.0003812,0.0003812,0.0003812
14,490.335,0.83684,0.72399,1.46719,0.60073,0.776,0.69735,0.53472,0.85347,0.7061,1.45576,0.0003713,0.0003713,0.0003713
15,526.517,0.84728,0.72866,1.45823,0.73838,0.72065,0.76711,0.56694,0.85293,0.65433,1.44138,0.0003614,0.0003614,0.0003614
16,563.428,0.8418,0.72482,1.46731,0.73386,0.6987,0.75632,0.54154,0.85982,0.71901,1.43678,0.0003515,0.0003515,0.0003515
17,598.197,0.8329,0.71337,1.46791,0.78203,0.68411,0.75048,0.53495,0.88165,0.73497,1.478,0.0003416,0.0003416,0.0003416
18,639.862,0.83163,0.70785,1.46745,0.73716,0.70549,0.75529,0.5389,0.88375,0.69157,1.44469,0.0003317,0.0003317,0.0003317
19,676.551,0.82755,0.69596,1.45317,0.66412,0.72671,0.77782,0.56729,0.81217,0.66423,1.39987,0.0003218,0.0003218,0.0003218
20,710.789,0.81644,0.68432,1.45125,0.72604,0.74359,0.7676,0.5786,0.83213,0.69771,1.42906,0.0003119,0.0003119,0.0003119
21,748.039,0.80137,0.66933,1.43649,0.68299,0.70709,0.70725,0.53256,0.84276,0.6913,1.42845,0.000302,0.000302,0.000302
22,783.49,0.803,0.66706,1.45377,0.74306,0.74265,0.77101,0.5628,0.87305,0.6745,1.45615,0.0002921,0.0002921,0.0002921
23,820.016,0.80072,0.66746,1.44484,0.71412,0.70163,0.70069,0.52429,0.85545,0.7632,1.41465,0.0002822,0.0002822,0.0002822
24,854.386,0.79237,0.64631,1.42084,0.73906,0.69958,0.73973,0.55715,0.83375,0.6623,1.42782,0.0002723,0.0002723,0.0002723
25,890.748,0.79082,0.64649,1.4371,0.62954,0.6978,0.70237,0.54381,0.84111,0.6665,1.41971,0.0002624,0.0002624,0.0002624
26,925.346,0.78365,0.64195,1.43088,0.67065,0.70499,0.75229,0.56083,0.8471,0.64666,1.40452,0.0002525,0.0002525,0.0002525
27,962.153,0.77694,0.6251,1.41158,0.68033,0.72949,0.76098,0.57273,0.81153,0.65206,1.4366,0.0002426,0.0002426,0.0002426
28,1001.22,0.76842,0.62193,1.41091,0.71625,0.71256,0.72399,0.54266,0.86027,0.67987,1.44308,0.0002327,0.0002327,0.0002327
29,1037.59,0.76115,0.61482,1.42849,0.77211,0.73386,0.76112,0.56645,0.87368,0.67162,1.42691,0.0002228,0.0002228,0.0002228
30,1073.09,0.76139,0.61136,1.43215,0.78185,0.70981,0.76228,0.56051,0.83242,0.66293,1.46205,0.0002129,0.0002129,0.0002129
31,1107.16,0.76456,0.61571,1.42056,0.71898,0.79595,0.76747,0.52995,0.88426,0.65996,1.44924,0.000203,0.000203,0.000203
32,1142.21,0.75377,0.59644,1.41066,0.65883,0.68751,0.72754,0.54523,0.84757,0.62862,1.45487,0.0001931,0.0001931,0.0001931
33,1176.01,0.75684,0.6027,1.42658,0.68088,0.73348,0.74832,0.5617,0.84714,0.63814,1.41984,0.0001832,0.0001832,0.0001832
34,1215.6,0.75967,0.60205,1.43159,0.67453,0.71387,0.76013,0.55345,0.81259,0.68031,1.40428,0.0001733,0.0001733,0.0001733
35,1256.18,0.74783,0.59666,1.43479,0.67107,0.71691,0.74941,0.57236,0.84763,0.65027,1.41429,0.0001634,0.0001634,0.0001634
36,1288.84,0.74349,0.58421,1.39361,0.70637,0.73266,0.77845,0.56042,0.80792,0.61377,1.39101,0.0001535,0.0001535,0.0001535
37,1329.33,0.74528,0.59175,1.42552,0.65672,0.72058,0.74944,0.57107,0.80675,0.61394,1.39939,0.0001436,0.0001436,0.0001436
38,1363.91,0.73293,0.57329,1.41367,0.66806,0.74486,0.75548,0.56916,0.80365,0.67202,1.39835,0.0001337,0.0001337,0.0001337
39,1401.07,0.74091,0.57841,1.40633,0.77495,0.73497,0.75755,0.58113,0.80968,0.62719,1.41615,0.0001238,0.0001238,0.0001238
40,1441.59,0.73582,0.579,1.41824,0.66832,0.70321,0.72257,0.54926,0.80621,0.66005,1.42656,0.0001139,0.0001139,0.0001139
41,1477.97,0.67317,0.5205,1.36883,0.72096,0.72005,0.72977,0.57412,0.77007,0.63049,1.37995,0.000104,0.000104,0.000104
42,1518.83,0.67538,0.51107,1.37267,0.67039,0.73572,0.76079,0.59174,0.80566,0.63989,1.4217,9.41e-05,9.41e-05,9.41e-05
43,1558.47,0.65966,0.50137,1.37161,0.62112,0.77817,0.7558,0.59026,0.81525,0.62356,1.43002,8.42e-05,8.42e-05,8.42e-05
44,1597.87,0.66641,0.50254,1.3798,0.68357,0.73042,0.77993,0.606,0.77749,0.6284,1.39827,7.43e-05,7.43e-05,7.43e-05
