epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.2776,1.20466,2.83202,1.99352,0.42004,0.55142,0.52965,0.31852,1.02212,1.65406,1.87037,0.00016622,0.00016622,0.00016622
2,97.9387,1.01299,1.23669,1.74646,0.66877,0.74811,0.6987,0.47059,1.08594,1.05825,1.89065,0.000326295,0.000326295,0.000326295
3,134.307,0.96876,0.97327,1.71117,0.64378,0.79514,0.74554,0.4982,1.0168,1.01182,1.84163,0.000479771,0.000479771,0.000479771
4,172.695,0.93494,0.85513,1.67227,0.81171,0.74104,0.76392,0.51825,1.01726,0.83204,1.7868,0.0004703,0.0004703,0.0004703
5,210.471,0.88457,0.78246,1.65936,0.85591,0.72173,0.78598,0.54676,1.01298,0.79743,1.73688,0.0004604,0.0004604,0.0004604
6,247.324,0.86864,0.74065,1.66021,0.74952,0.69611,0.80218,0.53235,0.95101,0.70862,1.70013,0.0004505,0.0004505,0.0004505
7,284.948,0.84244,0.6953,1.61936,0.755,0.7536,0.78851,0.5511,0.99412,0.73268,1.78411,0.0004406,0.0004406,0.0004406
8,322.656,0.83441,0.68435,1.62506,0.81357,0.7301,0.7737,0.5575,0.90651,0.72047,1.70028,0.0004307,0.0004307,0.0004307
9,359.991,0.82466,0.66637,1.62613,0.7522,0.77918,0.8057,0.55888,1.00431,0.66435,1.73062,0.0004208,0.0004208,0.0004208
10,397.763,0.80017,0.6299,1.59791,0.75877,0.8413,0.83638,0.58035,0.94531,0.71375,1.70231,0.0004109,0.0004109,0.0004109
11,435.307,0.78861,0.61992,1.58023,0.9023,0.73332,0.8156,0.56849,0.93483,0.64472,1.72821,0.000401,0.000401,0.000401
12,471.898,0.79029,0.61287,1.5953,0.80433,0.84566,0.84255,0.58087,0.91953,0.61896,1.67355,0.0003911,0.0003911,0.0003911
13,509.072,0.77211,0.58956,1.57486,0.71435,0.77666,0.77062,0.54926,0.91206,0.61745,1.6803,0.0003812,0.0003812,0.0003812
14,546.058,0.75236,0.57118,1.56475,0.79305,0.76866,0.81679,0.57883,0.89788,0.65184,1.67568,0.0003713,0.0003713,0.0003713
15,582.149,0.76033,0.56772,1.56344,0.92813,0.73694,0.87166,0.58943,0.87939,0.61054,1.67781,0.0003614,0.0003614,0.0003614
16,618.177,0.7551,0.56919,1.55113,0.74253,0.8323,0.78386,0.55194,0.92487,0.68014,1.76028,0.0003515,0.0003515,0.0003515
17,655.379,0.747,0.5586,1.57715,0.79149,0.77781,0.81265,0.56038,0.8927,0.65941,1.72694,0.0003416,0.0003416,0.0003416
18,692.797,0.74494,0.55597,1.57116,0.79119,0.85353,0.92039,0.60913,0.87602,0.60069,1.69189,0.0003317,0.0003317,0.0003317
19,731.143,0.73593,0.5412,1.53316,0.70952,0.92219,0.85487,0.59388,0.85693,0.61524,1.66333,0.0003218,0.0003218,0.0003218
20,769.463,0.7212,0.53663,1.52872,0.85988,0.86814,0.86696,0.61216,0.8956,0.60805,1.69063,0.0003119,0.0003119,0.0003119
21,808.039,0.71442,0.52128,1.53314,0.88465,0.83809,0.9566,0.59969,0.91274,0.61693,1.71255,0.000302,0.000302,0.000302
22,845.984,0.71011,0.5203,1.55515,0.70011,0.87753,0.88235,0.60221,0.8934,0.60567,1.68585,0.0002921,0.0002921,0.0002921
23,883.231,0.71294,0.52204,1.55545,0.84756,0.75429,0.82528,0.58653,0.88546,0.6658,1.68583,0.0002822,0.0002822,0.0002822
24,919.187,0.69793,0.50392,1.51184,0.71137,0.88082,0.87798,0.61043,0.86667,0.6201,1.7257,0.0002723,0.0002723,0.0002723
25,956.761,0.69688,0.50153,1.52003,0.78329,0.75437,0.79853,0.59276,0.88918,0.59002,1.71684,0.0002624,0.0002624,0.0002624
26,994.461,0.69304,0.49743,1.52779,0.79558,0.84579,0.84647,0.60515,0.86661,0.60723,1.66352,0.0002525,0.0002525,0.0002525
27,1032.47,0.68217,0.48131,1.50249,0.70568,0.90204,0.84382,0.60145,0.85022,0.62145,1.7071,0.0002426,0.0002426,0.0002426
28,1070.12,0.67839,0.48471,1.49796,0.72499,0.88586,0.87177,0.61166,0.89392,0.66199,1.70961,0.0002327,0.0002327,0.0002327
29,1107.6,0.66626,0.47813,1.50463,0.89715,0.83189,0.87542,0.61103,0.89562,0.60069,1.70797,0.0002228,0.0002228,0.0002228
30,1145.16,0.6684,0.47725,1.50756,0.73474,0.87756,0.90354,0.61226,0.87285,0.63973,1.68595,0.0002129,0.0002129,0.0002129
31,1182.79,0.67163,0.48163,1.50292,0.77901,0.91397,0.91883,0.62376,0.87747,0.61194,1.68694,0.000203,0.000203,0.000203
32,1220.05,0.65947,0.46803,1.49013,0.7673,0.87752,0.89959,0.62512,0.85709,0.62117,1.69388,0.0001931,0.0001931,0.0001931
33,1257.53,0.65547,0.46365,1.5103,0.90057,0.79922,0.84327,0.61925,0.87394,0.58241,1.67653,0.0001832,0.0001832,0.0001832
34,1293.67,0.66219,0.46719,1.50921,0.73068,0.96082,0.89859,0.60663,0.85671,0.64281,1.70505,0.0001733,0.0001733,0.0001733
35,1331.99,0.64862,0.45896,1.50757,0.70392,0.86535,0.88077,0.61368,0.86781,0.64596,1.69488,0.0001634,0.0001634,0.0001634
36,1366.9,0.64685,0.45299,1.47938,0.70723,0.91894,0.8553,0.6056,0.84228,0.62445,1.69927,0.0001535,0.0001535,0.0001535
37,1404.36,0.64733,0.45213,1.5113,0.78912,0.75071,0.84863,0.60783,0.83164,0.5847,1.69477,0.0001436,0.0001436,0.0001436
38,1441.94,0.63466,0.4411,1.50349,0.83009,0.76866,0.88956,0.63722,0.83528,0.5954,1.68692,0.0001337,0.0001337,0.0001337
39,1477.9,0.63766,0.44287,1.49327,0.67911,0.86883,0.86323,0.62734,0.84516,0.65392,1.72061,0.0001238,0.0001238,0.0001238
40,1514.1,0.63495,0.44361,1.50295,0.83334,0.77793,0.82906,0.62089,0.83096,0.61109,1.71738,0.0001139,0.0001139,0.0001139
41,1551.54,0.57975,0.38086,1.4508,0.83311,0.78544,0.81895,0.59981,0.86206,0.62335,1.75071,0.000104,0.000104,0.000104
42,1588.38,0.58086,0.37643,1.46011,0.8385,0.77772,0.8326,0.62358,0.84451,0.58826,1.72098,9.41e-05,9.41e-05,9.41e-05
43,1624.72,0.56716,0.3686,1.44809,0.83844,0.78966,0.83281,0.62839,0.83295,0.57347,1.71851,8.42e-05,8.42e-05,8.42e-05
44,1658.7,0.57481,0.37088,1.47991,0.81799,0.79221,0.83551,0.63066,0.83492,0.5897,1.72861,7.43e-05,7.43e-05,7.43e-05
45,1696.24,0.5674,0.36305,1.46768,0.84757,0.78912,0.83476,0.619,0.84741,0.58956,1.7103,6.44e-05,6.44e-05,6.44e-05
46,1733.68,0.564,0.35965,1.46262,0.79462,0.75182,0.78763,0.60476,0.83797,0.60646,1.71098,5.45e-05,5.45e-05,5.45e-05
47,1770.4,0.55994,0.3584,1.47348,0.84118,0.78455,0.81783,0.62195,0.8365,0.61035,1.72071,4.46e-05,4.46e-05,4.46e-05
48,1806.98,0.5492,0.35343,1.46241,0.8596,0.79321,0.83127,0.62404,0.83292,0.58744,1.71681,3.47e-05,3.47e-05,3.47e-05
49,1843.53,0.55216,0.35445,1.4683,0.85954,0.79804,0.83273,0.61774,0.84645,0.59241,1.71035,2.48e-05,2.48e-05,2.48e-05
50,1880.25,0.54866,0.34911,1.4459,0.85399,0.79302,0.8302,0.61581,0.83892,0.59928,1.71249,1.49e-05,1.49e-05,1.49e-05
